factor_id,scope,module,country,geography_level,fuel_item,technology_process,gas,factor_value,unit_numerator,unit_denominator,source_name,preferred_rank,notes
GLEC3_SEA_BULK_VLSFO,S3,freight_transport,GLOBAL,global,vlsfo,sea_bulk_carrier_vlsfo,CO2e,0.008,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Bulk carrier VLSFO. WTT+TTW. ISO 14083:2023."
GLEC3_SEA_TANKER_VLSFO,S3,freight_transport,GLOBAL,global,vlsfo,sea_tanker_vlsfo,CO2e,0.005,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Tanker VLSFO. WTT+TTW. ISO 14083:2023."
GLEC3_SEA_RORO_VLSFO,S3,freight_transport,GLOBAL,global,vlsfo,sea_roro_vlsfo,CO2e,0.025,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"RoRo (Roll-on/Roll-off) vessel VLSFO. WTT+TTW. ISO 14083:2023."
GLEC3_SEA_FERRY_VLSFO,S3,freight_transport,GLOBAL,global,vlsfo,sea_ferry_vlsfo,CO2e,0.035,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Ferry VLSFO. WTT+TTW. ISO 14083:2023."
GLEC3_SEA_GENERAL_CARGO_VLSFO,S3,freight_transport,GLOBAL,global,vlsfo,sea_general_cargo_vlsfo,CO2e,0.018,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"General cargo vessel VLSFO. WTT+TTW. ISO 14083:2023."
GLEC3_AIR_BELLY_LONGHAUL,S3,freight_transport,GLOBAL,global,jet_fuel,air_belly_freight_long_haul,CO2e,0.602,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Belly freight long haul (>3500km) on passenger aircraft. WTT+TTW. ISO 14083:2023."
GLEC3_AIR_BELLY_SHORTHAUL,S3,freight_transport,GLOBAL,global,jet_fuel,air_belly_freight_short_haul,CO2e,1.020,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Belly freight short haul (<3500km) on passenger aircraft. WTT+TTW. ISO 14083:2023."
GLEC3_AIR_DEDICATED_FREIGHTER,S3,freight_transport,GLOBAL,global,jet_fuel,air_dedicated_freighter,CO2e,0.471,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Dedicated cargo aircraft. WTT+TTW. ISO 14083:2023."
GLEC3_IWW_DIESEL,S3,freight_transport,GLOBAL,global,diesel_oil,inland_waterway_diesel,CO2e,0.033,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Inland waterway vessel diesel. WTT+TTW. ISO 14083:2023."
GLEC3_INTERMODAL_ROAD_RAIL,S3,freight_transport,GLOBAL,global,diesel_oil,intermodal_road_rail,CO2e,0.028,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Intermodal road+rail (typical 80% rail 20% road). WTT+TTW. ISO 14083:2023."
GLEC3_INTERMODAL_ROAD_SEA,S3,freight_transport,GLOBAL,global,vlsfo,intermodal_road_sea,CO2e,0.015,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Intermodal road+sea (typical 90% sea 10% road). WTT+TTW. ISO 14083:2023."
