factor_id,scope,module,country,fuel_item,technology_process,gas,factor_value,unit_numerator,unit_denominator,preferred_rank,source_name,source_reference,notes
INDIA24_S7_METRO_CHENNAI_CO2E,S3,mobile_combustion,IN,electric,metro_chennai,CO2e,0.018,kgCO2e,passenger-km,55,CMRL 2022,Chennai Metro Rail Limited Sustainability 2022,CMRL Phase 1. Grid electricity.
INDIA24_S7_SUBURBAN_MUMBAI_CO2E,S3,mobile_combustion,IN,electric,suburban_rail_mumbai,CO2e,0.007,kgCO2e,passenger-km,55,Indian Railways ESG 2023,Indian Railways Environmental Statement 2022-23,Mumbai suburban electric. World's busiest commuter rail. EF from railway energy per passenger-km.
INDIA24_S7_SUBURBAN_RAIL_IN_CO2E,S3,mobile_combustion,IN,electric,suburban_rail_india,CO2e,0.012,kgCO2e,passenger-km,55,Indian Railways ESG 2023,Indian Railways Environmental Statement 2022-23,India suburban/intercity electric rail average. Includes EMU and MEMU services.
INDIA24_S7_BUS_BEST_CO2E,S3,mobile_combustion,IN,cng,bus_best_mumbai,CO2e,0.065,kgCO2e,passenger-km,55,BEST Undertaking 2023,BEST Undertaking Annual Report 2022-23,Mumbai BEST CNG bus fleet. Average load 40 passengers. Fleet turnover to BS-VI completed.
INDIA24_S7_BUS_DTC_CO2E,S3,mobile_combustion,IN,cng,bus_dtc_delhi,CO2e,0.055,kgCO2e,passenger-km,55,DTC Report 2022,Delhi Transport Corporation Annual Report 2022,DTC CNG bus fleet. 40 pass average. BS-VI compliant fleet.
INDIA24_S7_BUS_BMTC_CO2E,S3,mobile_combustion,IN,diesel_oil,bus_bmtc_bangalore,CO2e,0.072,kgCO2e,passenger-km,55,BMTC 2022,Bangalore Metropolitan Transport Corporation Annual Report 2022,BMTC diesel fleet. Partial CNG/EV conversion ongoing.
INDIA24_S7_CAB_AGG_CO2E,S3,mobile_combustion,IN,motor_gasoline,cab_aggregator,CO2e,0.140,kgCO2e,passenger-km,55,OLA ESG 2022,OLA Electric / OLA Cabs ESG Report 2022,Cab aggregator (Ola/Uber) India. Mix CNG+petrol fleet. 1.2 occupancy average.
INDIA24_S7_EV_2W_CO2E,S3,mobile_combustion,IN,electric,electric_2wheeler,CO2e,0.040,kgCO2e,passenger-km,55,CEA v20 + OEM,Calculated from CEA v20 grid EF + OEM spec,Electric 2-wheeler commuting. 3kWh/100km energy consumption. 1.5 passengers. Grid EF 0.727.
INDIA24_S7_PETROL_2W_CO2E,S3,mobile_combustion,IN,motor_gasoline,petrol_2wheeler,CO2e,0.089,kgCO2e,passenger-km,55,CPCB India 2023,CPCB India 2-wheeler emission inventory 2023,Petrol 2-wheeler. BS-VI fleet average. 1.2 passengers.
INDIA24_S7_CNG_CAR_IN_CO2E,S3,mobile_combustion,IN,cng,car_cng,CO2e,0.092,kgCO2e,passenger-km,55,MoRTH India 2023,Ministry of Road Transport and Highways 2023,CNG car India. Average occupancy 1.5. Common in Delhi/Mumbai fleet.
