Metric ID,Sector,Industry,Metric Name,Metric Description,Quantitative / Qualitative,Unit,Topic,Topic Description,Primitive Bindings,Outcome Node Bindings,Binding Notes
CG-AM-250a.2,Consumer Goods,Appliance Manufacturing,Discussion of process to identify and manage safety risks associated with the use of its products,Discussion of process to identify and manage safety risks associated with the use of its products,Discussion and Analysis,,Product Safety,"Product safety is of utmost importance to appliance and tool manufacturers. When an appliance malfunctions, fires or other resulting hazards may damage property, cause injury or even result in death. The potential for product malfunction and consequences exposes firms to litigation and negative consumer sentiment risks, which can affect brand value, revenue growth or market share. Entities issuing product recalls face upfront costs for logistics and customer reimbursement, reputational risks and lost sales. Failure to report known product safety hazards to relevant authorities can result in civil penalties. Entities that effectively manage quality control and testing can minimise the possibility of a product malfunction or recall, capture additional market share, and limit exposure to regulatory and litigation risks.","CL, HS","E:RegulatoryFine, R:BrandEquity",Safety risk identification process quality signals product liability governance and brand/regulatory risk management
CG-AM-250a.3,Consumer Goods,Appliance Manufacturing,Total amount of monetary losses because of legal proceedings associated with product safety 2,"Total amount of monetary losses because of legal proceedings associated with product safety 2 ? The entity shall briefly describe the nature, context, and any corrective actions taken because of monetary losses.",Quantitative,Presentation currency,Product Safety,"Product safety is of utmost importance to appliance and tool manufacturers. When an appliance malfunctions, fires or other resulting hazards may damage property, cause injury or even result in death. The potential for product malfunction and consequences exposes firms to litigation and negative consumer sentiment risks, which can affect brand value, revenue growth or market share. Entities issuing product recalls face upfront costs for logistics and customer reimbursement, reputational risks and lost sales. Failure to report known product safety hazards to relevant authorities can result in civil penalties. Entities that effectively manage quality control and testing can minimise the possibility of a product malfunction or recall, capture additional market share, and limit exposure to regulatory and litigation risks.","CL, LT","E:RegulatoryFine, F:GrossMargin","Monetary losses from product safety legal proceedings crystallise litigation liability, gross margin impact and regulatory exposure in appliance manufacturing"
CG-AM-410a.1,Consumer Goods,Appliance Manufacturing,Percentage of eligible products by revenue certified to an energy efficiency certification,Percentage of eligible products by revenue certified to an energy efficiency certification,Quantitative,Percentage (%) by revenue,Product Lifecycle Environmental Impacts,"Depending on the specific building product or furnishing, significant environmental impacts can arise during raw material sourcing, transportation, manufacturing, use-phase or end-of-life. Increasing consumer and regulatory preference for less impactful products has spawned the development of more sustainable products, broadly termed ?green building materials?. In addition, product lifecycle certification has arisen as a tool for entities and their customers to assess and improve a product?s lifecycle impact. Certification programmes typically examine specific sustainability characteristics of a product category and include the use of closed-loop materials that minimise a product?s end-of-life environmental impacts and reduce the need for extracting or producing virgin materials. Through product innovation and design that facilitates end-of-life product recovery and the use of less impactful materials, the adoption of product certification programmes, and partnerships with customers, manufacturers of building products can improve lifecycle impacts, reduce regulatory risk, meet growing customer demand and realise cost savings.","EU, GE",R:BrandEquity,Energy efficiency certification coverage signals product portfolio green credentials and customer value proposition
CG-AM-410a.2,Consumer Goods,Appliance Manufacturing,Percentage of eligible products by revenue certified to an environmental product lifecycle standard,Percentage of eligible products by revenue certified to an environmental product lifecycle standard,Quantitative,Percentage (%) by revenue,Product Lifecycle Environmental Impacts,"Depending on the specific building product or furnishing, significant environmental impacts can arise during raw material sourcing, transportation, manufacturing, use-phase or end-of-life. Increasing consumer and regulatory preference for less impactful products has spawned the development of more sustainable products, broadly termed ?green building materials?. In addition, product lifecycle certification has arisen as a tool for entities and their customers to assess and improve a product?s lifecycle impact. Certification programmes typically examine specific sustainability characteristics of a product category and include the use of closed-loop materials that minimise a product?s end-of-life environmental impacts and reduce the need for extracting or producing virgin materials. Through product innovation and design that facilitates end-of-life product recovery and the use of less impactful materials, the adoption of product certification programmes, and partnerships with customers, manufacturers of building products can improve lifecycle impacts, reduce regulatory risk, meet growing customer demand and realise cost savings.","GE, WS",R:BrandEquity,Environmental lifecycle certification share signals product sustainability positioning and brand differentiation
CG-AM-410a.3,Consumer Goods,Appliance Manufacturing,Description of efforts to manage products? end-of-life impacts,Description of efforts to manage products? end-of-life impacts,Discussion and Analysis,,Product Lifecycle Environmental Impacts,"Depending on the specific building product or furnishing, significant environmental impacts can arise during raw material sourcing, transportation, manufacturing, use-phase or end-of-life. Increasing consumer and regulatory preference for less impactful products has spawned the development of more sustainable products, broadly termed ?green building materials?. In addition, product lifecycle certification has arisen as a tool for entities and their customers to assess and improve a product?s lifecycle impact. Certification programmes typically examine specific sustainability characteristics of a product category and include the use of closed-loop materials that minimise a product?s end-of-life environmental impacts and reduce the need for extracting or producing virgin materials. Through product innovation and design that facilitates end-of-life product recovery and the use of less impactful materials, the adoption of product certification programmes, and partnerships with customers, manufacturers of building products can improve lifecycle impacts, reduce regulatory risk, meet growing customer demand and realise cost savings.","GE, WS",E:ESGRating,End-of-life management strategy depth signals circular economy commitment and ESG rating improvement potential
CG-AM-000.A,Consumer Goods,Appliance Manufacturing,Annual production,Annual production,Quantitative,Number of units,Annual production3,,RV,O:CapacityUtilisation,Activity metric: annual production volume scales revenue base and normalises environmental intensity metrics
CG-BF-130a.1,Consumer Goods,Building Products & Furnishings,"Total energy consumed,
percentage grid electricity and
percentage renewable","Total energy consumed,
percentage grid electricity and
percentage renewable",Quantitative,"Gigajoules (GJ),
Percentage (%)",Energy Management in Manufacturing,"The Building Products & Furnishings industry creates value through energy-intensive manufacturing processes. Purchased electricity represents the largest share of energy consumption across the industry, while entities also may use fossil fuel energy on-site. The price of conventional grid electricity and volatility of fossil fuel prices may increase because of evolving climate change regulations and new incentives for energy efficiency and renewable energy, among other factors, while alternative energy sources become more cost-competitive. Decisions regarding energy sourcing and type, as well as the use of alternative energy, can create trade-offs related to the energy supply?s cost and reliability for operations. Since the industry operates on relatively narrow profit margins, reductions in energy consumption may have a significant influence on financial performance. The way an entity manages energy efficiency, its reliance on different types of energy and their associated sustainability risks, and access alternative energy sources are likely to impact financial performance.","EP, EU, GE",E:CarbonLiability,"Manufacturing energy mix, grid share and renewable share drive production cost margin and Scope 1/2 carbon liability"
CG-BF-250a.1,Consumer Goods,Building Products & Furnishings,Discussion of processes to assess and manage risks or hazards associated with chemicals in products,Discussion of processes to assess and manage risks or hazards associated with chemicals in products,Discussion and Analysis,,Management of Chemicals in Products,"The Building Products & Furnishings industry?s products can contain substances that may harm human health, including volatile organic compounds (VOCs) and potential reproductive toxins, carcinogens and endocrine disruptors. In general, products contain these substances at low concentrations, if at all, and therefore are not expected to pose a health concern. Nonetheless, entities may be exposed to potentially significant regulatory and reputational risk associated with the use of substances of concern. Actual or perceived human health risks create the potential for future regulation of product chemical content and possible reputational consequences for entities, which can significantly affect demand for products. The industry has engaged in voluntary efforts to eliminate such potentially harmful chemicals from products and use alternative materials. The adoption of building certification standards, such as the Leadership in Energy and Environmental Design (LEED) building rating system, has stimulated demand for products with reduced harmful chemical content. Entities that effectively manage harmful chemicals in their products may cultivate a long-term competitive advantage by increasing demand, reducing regulatory risk and improving brand value.","CL, RG",R:BrandEquity,Chemical hazard assessment and management process depth signals VOC/toxic substance risk mitigation and brand protection
CG-BF-250a.2,Consumer Goods,Building Products & Furnishings,Percentage of eligible products meeting volatile organic compound (VOC) emissions and content standards,Percentage of eligible products meeting volatile organic compound (VOC) emissions and content standards,Quantitative,Percentage (%) by revenue,Management of Chemicals in Products,"The Building Products & Furnishings industry?s products can contain substances that may harm human health, including volatile organic compounds (VOCs) and potential reproductive toxins, carcinogens and endocrine disruptors. In general, products contain these substances at low concentrations, if at all, and therefore are not expected to pose a health concern. Nonetheless, entities may be exposed to potentially significant regulatory and reputational risk associated with the use of substances of concern. Actual or perceived human health risks create the potential for future regulation of product chemical content and possible reputational consequences for entities, which can significantly affect demand for products. The industry has engaged in voluntary efforts to eliminate such potentially harmful chemicals from products and use alternative materials. The adoption of building certification standards, such as the Leadership in Energy and Environmental Design (LEED) building rating system, has stimulated demand for products with reduced harmful chemical content. Entities that effectively manage harmful chemicals in their products may cultivate a long-term competitive advantage by increasing demand, reducing regulatory risk and improving brand value.","CL, RG",R:BrandEquity,VOC compliance rate for eligible products signals regulatory standing and indoor air quality brand positioning
CG-BF-410a.1,Consumer Goods,Building Products & Furnishings,Description of efforts to manage product lifecycle impacts and meet demand for sustainable products,Description of efforts to manage product lifecycle impacts and meet demand for sustainable products,Discussion and Analysis,,Product Lifecycle Environmental Impacts,"Depending on the specific building product or furnishing, significant environmental impacts can arise during raw material sourcing, transportation, manufacturing, use-phase or end-of-life. Increasing consumer and regulatory preference for less impactful products has spawned the development of more sustainable products, broadly termed ?green building materials?. In addition, product lifecycle certification has arisen as a tool for entities and their customers to assess and improve a product?s lifecycle impact. Certification programmes typically examine specific sustainability characteristics of a product category and include the use of closed-loop materials that minimise a product?s end-of-life environmental impacts and reduce the need for extracting or producing virgin materials. Through product innovation and design that facilitates end-of-life product recovery and the use of less impactful materials, the adoption of product certification programmes, and partnerships with customers, manufacturers of building products can improve lifecycle impacts, reduce regulatory risk, meet growing customer demand and realise cost savings.","GE, WS",E:ESGRating,Lifecycle impact management strategy and green building certification depth signals product sustainability credentials
CG-BF-410a.2,Consumer Goods,Building Products & Furnishings,"Weight of end-of-life material recovered, (2) percentage of recovered materials recycled","Weight of end-of-life material recovered, (2) percentage of recovered materials recycled",Quantitative,"Metric tonnes (t), Percentage (%) by weight",Product Lifecycle Environmental Impacts,"Depending on the specific building product or furnishing, significant environmental impacts can arise during raw material sourcing, transportation, manufacturing, use-phase or end-of-life. Increasing consumer and regulatory preference for less impactful products has spawned the development of more sustainable products, broadly termed ?green building materials?. In addition, product lifecycle certification has arisen as a tool for entities and their customers to assess and improve a product?s lifecycle impact. Certification programmes typically examine specific sustainability characteristics of a product category and include the use of closed-loop materials that minimise a product?s end-of-life environmental impacts and reduce the need for extracting or producing virgin materials. Through product innovation and design that facilitates end-of-life product recovery and the use of less impactful materials, the adoption of product certification programmes, and partnerships with customers, manufacturers of building products can improve lifecycle impacts, reduce regulatory risk, meet growing customer demand and realise cost savings.","GE, WS",E:ESGRating,End-of-life material recovery weight and recycling rate signals circular economy commitment and ESG rating improvement
CG-BF-430a.1,Consumer Goods,Building Products & Furnishings,"(1) Total weight of wood fibre materials purchased, (2) percentage from third-party certified forestlands, (3) percentage by standard and (4) percentage certified to other wood fibre standards,
(5) percentage by standard 1","(1) Total weight of wood fibre materials purchased, (2) percentage from third-party certified forestlands, (3) percentage by standard and (4) percentage certified to other wood fibre standards,
(5) percentage by standard 1 ? The entity shall describe its practices for sourcing: (1) wood fibre materials from forestlands that are not certified to a third-party forest management standard, and (2) wood fibre materials not certified to other wood fibre certification standards.",Quantitative,"Metric tonnes (t), Percentage (%) by weight",Wood Supply Chain Management,"The Building Products & Furnishings industry uses large amounts of wood sourced from forests worldwide. Unsustainable production and timber harvesting can result in adverse environmental and social impacts, including biodiversity loss and harm to the livelihoods of forest-dependent communities. Entities inadvertently may source wood from areas susceptible to unsustainable forestry practices. Reports of illegal logging, environmental pollution or adverse impacts on communities can result in reputational repercussions that can damage an entity?s brand value, affecting demand for their products. In addition, regulations banning the importation of illegally produced wood can result in supply constraints, penalties and further damage to brand value. To mitigate these risks, entities increasingly are adopting third-party certifications verifying wood is grown and harvested in a sustainable manner. Obtaining wood sourcing certifications also can provide entities with a potential growth channel because they can satisfy customer demand for certified products.","CM, SC",E:BiodiversityImpact,"Wood fibre volume, third-party forestland certification share and standard breakdown signals biodiversity supply chain risk"
CG-BF-000.A,Consumer Goods,Building Products & Furnishings,Annual production2,Annual production2,Quantitative,See note,Annual production2,,RV,O:CapacityUtilisation,Activity metric: annual production volume scales revenue base and normalises environmental intensity metrics
CG-BF-000.B,Consumer Goods,Building Products & Furnishings,Area of manufacturing facilities3,Area of manufacturing facilities3,Quantitative,Square metres (m�),Area of manufacturing facilities3,,CX,O:CapacityUtilisation,Activity metric: manufacturing facility floor area provides capacity and environmental intensity normalisation context
CG-EC-130a.1,Consumer Goods,E-Commerce,"Total energy consumed,
percentage grid electricity and
percentage renewable","Total energy consumed,
percentage grid electricity and
percentage renewable",Quantitative,"Gigajoules (GJ),
Percentage (%)",Hardware Infrastructure Energy & Water Management,"The E-Commerce industry uses a large part of the energy it consumes to power critical hardware and IT infrastructure in data centres. Data centres must be powered continuously, and disruptions to the energy supply can have a material impact on operations, depending on the disruption magnitude and timing. Entities also face a trade-off between energy and water consumption for their data centre cooling needs. Cooling data centres with water instead of chillers improves energy efficiency, but this method can result in dependence on potentially scarce local water resources. Entities that effectively manage this issue may benefit from cost savings and minimise reputational risks, because concerns over energy and water use are growing.","EP, EU, GE",E:CarbonLiability,Data centre energy mix and renewable share drive operational carbon liability and power cost efficiency
CG-EC-130a.2,Consumer Goods,E-Commerce,"Total water withdrawn, (2) total water consumed; percentage of each in regions with High or Extremely High Baseline Water Stress","Total water withdrawn, (2) total water consumed; percentage of each in regions with High or Extremely High Baseline Water Stress",Quantitative,"Thousand cubic metres (m?), Percentage (%)",Hardware Infrastructure Energy & Water Management,"The E-Commerce industry uses a large part of the energy it consumes to power critical hardware and IT infrastructure in data centres. Data centres must be powered continuously, and disruptions to the energy supply can have a material impact on operations, depending on the disruption magnitude and timing. Entities also face a trade-off between energy and water consumption for their data centre cooling needs. Cooling data centres with water instead of chillers improves energy efficiency, but this method can result in dependence on potentially scarce local water resources. Entities that effectively manage this issue may benefit from cost savings and minimise reputational risks, because concerns over energy and water use are growing.","WA, XW",S:WaterScarcity,Data centre water withdrawal and stress-region exposure quantify cooling water scarcity risk and continuity exposure
CG-EC-130a.3,Consumer Goods,E-Commerce,Discussion of the integration of environmental considerations into strategic planning for data centre needs,Discussion of the integration of environmental considerations into strategic planning for data centre needs,Discussion and Analysis,,Hardware Infrastructure Energy & Water Management,"The E-Commerce industry uses a large part of the energy it consumes to power critical hardware and IT infrastructure in data centres. Data centres must be powered continuously, and disruptions to the energy supply can have a material impact on operations, depending on the disruption magnitude and timing. Entities also face a trade-off between energy and water consumption for their data centre cooling needs. Cooling data centres with water instead of chillers improves energy efficiency, but this method can result in dependence on potentially scarce local water resources. Entities that effectively manage this issue may benefit from cost savings and minimise reputational risks, because concerns over energy and water use are growing.","EU, WA",E:ESGRating,Environmental integration in data centre planning signals energy/water efficiency commitment and ESG rating positioning
CG-EC-220a.1,Consumer Goods,E-Commerce,Number of users whose information is used for secondary purposes,Number of users whose information is used for secondary purposes,Quantitative,Number,Data Privacy & Advertising Standards,"Entities in the E-Commerce industry have access to consumer information including financial information, purchase history and basic demographic data. Entities must carefully manage two separate and often conflicting priorities. Entities compete by leveraging data to provide users with relevant services and target advertising or product recommendations based on consumers? preferences and behaviour patterns, but their access to a range of user data may raise privacy concerns among users and the public at large. These privacy concerns can result in increased regulatory scrutiny. Failure to manage the issue can result in incremental costs associated with managing regulatory and reputational risks. Furthermore, effective management in this area can increase user confidence and loyalty, which are particularly important to maintain market share.","CL, CY",R:CustomerChurn,Users subject to secondary data use signals consent governance risk and customer churn exposure from privacy concerns
CG-EC-220a.2,Consumer Goods,E-Commerce,Description of policies and practices relating to targeted advertising and user privacy,Description of policies and practices relating to targeted advertising and user privacy,Discussion and Analysis,,Data Privacy & Advertising Standards,"Entities in the E-Commerce industry have access to consumer information including financial information, purchase history and basic demographic data. Entities must carefully manage two separate and often conflicting priorities. Entities compete by leveraging data to provide users with relevant services and target advertising or product recommendations based on consumers? preferences and behaviour patterns, but their access to a range of user data may raise privacy concerns among users and the public at large. These privacy concerns can result in increased regulatory scrutiny. Failure to manage the issue can result in incremental costs associated with managing regulatory and reputational risks. Furthermore, effective management in this area can increase user confidence and loyalty, which are particularly important to maintain market share.","CL, CY",E:RegulatoryFine,Targeted advertising and privacy policy quality signals data governance maturity and regulatory fine exposure
CG-EC-230a.1,Consumer Goods,E-Commerce,Description of approach to identifying and addressing data security risks,Description of approach to identifying and addressing data security risks,Discussion and Analysis,,Data Security,"Consumers trust retail entities with their financial and personal data every time they make a noncash transaction with a credit or debit card or other method. Credit cards and debit cards have eclipsed cash and cheques as consumers? preferred payment methods in many jurisdictions around the world. In these noncash transactions, retailers build up a relationship of trust with consumers, assuring them of the safety of their personal information. Data breaches can occur both through breaches of the physical payment technology, called point-of-sales breaches, as well as through cyber-attacks. As consumers become more educated about the threats of cybercrime, their perceptions of an entity?s cybersecurity will become increasingly important to maintain or gain market share. Retailers that prevent major data breaches also can avoid harming brand value and reduce liabilities.","CY, DT",E:RegulatoryFine,Data security risk identification approach quality signals cyber resilience and regulatory fine exposure
