constant_id,constant_type,country,efdb_id,factor_set_version,fuel_item,notes,property_name,property_value,source_name,source_reference,source_url,unit,year_end,year_start
DENSITY_GLOBAL_DIESEL_KG_PER_L_0,Density,GLOBAL,,v0.1.0,diesel_oil,"Default density for litre↔kg conversion. If user provides density override, treat as authoritative and mark manual_override.",density_kg_per_litre,0.832,IPCC 2006 (via curated subset),Use as default only. Curated subset in emission_factors.json lists diesel density_kg_per_litre=0.845 and NCV=43.0 TJ/Gg; replace with direct IPCC 2006 table citation when extracted. EngineeringToolbox and WWFC show diesel density range ~0.820–0.845 kg/L at 15°C.,https://iea-amf.org/content/fuel_information/diesel_gasoline/fuel_properties,kg/litre,,
NCV_GLOBAL_DIESEL_TJ_PER_GG_IPCC2019,NCV (energy content),GLOBAL,53620,v0.1.0,diesel_oil,GLOBAL default NCV for diesel oil. 2019 preferred over 2006.,ncv_tj_per_gg,43,IPCC 2019 Refinement (default),2019 Refinement Vol.2 Ch.2 indicates no refinement; NCV defaults consistent with 2006 default table.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,TJ/Gg,,
NCV_GLOBAL_DIESEL_TJ_PER_GG_IPCC2006,NCV (energy content),GLOBAL,53620,v0.1.0,diesel_oil,Superseded by IPCC 2019 Refinement default where applicable.,ncv_tj_per_gg,43,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 Ch.1/2 default NCV for diesel oil.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_1_Ch1_Introduction.pdf,TJ/Gg,,
NCV_GLOBAL_PETROL_TJ_PER_GG_IPCC2019,NCV (energy content),GLOBAL,53600,v0.1.0,motor_gasoline,GLOBAL default NCV for motor gasoline. 2019 preferred over 2006.,ncv_tj_per_gg,44.3,IPCC 2019 Refinement (default),NCV defaults consistent with 2006 table; 2019 Refinement indicates no refinement for stationary combustion chapter.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,TJ/Gg,,
NCV_GLOBAL_NATGAS_TJ_PER_GG_IPCC2019,NCV (energy content),GLOBAL,53570,v0.1.0,natural_gas,GLOBAL default NCV for natural gas. 2019 preferred over 2006.,ncv_tj_per_gg,48,IPCC 2019 Refinement (default),NCV defaults consistent with 2006 table; 2019 Refinement indicates no refinement for stationary combustion chapter.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,TJ/Gg,,
NCV_GLOBAL_COAL_BITUM_TJ_PER_GG_IPCC2019,NCV (energy content),GLOBAL,53530,v0.1.0,other_bituminous_coal,GLOBAL default NCV for other bituminous coal. 2019 preferred over 2006.,ncv_tj_per_gg,25.8,IPCC 2019 Refinement (default),NCV defaults consistent with 2006 table; 2019 Refinement indicates no refinement for stationary combustion chapter.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,TJ/Gg,,
NCV_GLOBAL_PETROL_TJ_PER_GG_IPCC2006,NCV (energy content),GLOBAL,53600,v0.1.0,motor_gasoline,Superseded by IPCC 2019 Refinement default where applicable.,ncv_tj_per_gg,44.3,IPCC 2006 Guidelines (default),IPCC 2006 default NCV for motor gasoline.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_1_Ch1_Introduction.pdf,TJ/Gg,,
NCV_GLOBAL_NATGAS_TJ_PER_GG_IPCC2006,NCV (energy content),GLOBAL,53570,v0.1.0,natural_gas,Superseded by IPCC 2019 Refinement default where applicable.,ncv_tj_per_gg,48,IPCC 2006 Guidelines (default),IPCC 2006 default NCV for natural gas.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_1_Ch1_Introduction.pdf,TJ/Gg,,
NCV_GLOBAL_COAL_BITUM_TJ_PER_GG_IPCC2006,NCV (energy content),GLOBAL,53530,v0.1.0,other_bituminous_coal,Superseded by IPCC 2019 Refinement default where applicable.,ncv_tj_per_gg,25.8,IPCC 2006 Guidelines (default),IPCC 2006 default NCV for other bituminous coal.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_1_Ch1_Introduction.pdf,TJ/Gg,,
DENSITY_GLOBAL_PETROL_KG_PER_L_IPCC2006,Density,GLOBAL,53600,v0.1.0,motor_gasoline,Used only when activity is in litres and user does not override density.,density_kg_per_litre,0.74,IPCC 2006 Guidelines (default),Default density used for litre↔kg conversions consistent with IPCC 2006 stationary/mobile default datasets.,,kg/litre,,DENSITY_GLOBAL_NATGAS_KG_PER_M3,Density,natural_gas,GLOBAL,,,,density_kg_per_m3,0.717,kg/m3,ISO 13443 / IPCC 2006,,,Natural gas density at STP (15C 1 atm). Used for m3/SCM/MMSCM inputs.
DENSITY_GLOBAL_JETFUEL_KG_PER_L,Density,jet_fuel,GLOBAL,,,,density_kg_per_litre,0.800,kg/litre,ASTM D1655 Jet A/A-1,,,Jet fuel (ATF) density at 15C. Range 0.775-0.840; ASTM midpoint used.
DENSITY_GLOBAL_CRUDEOIL_KG_PER_L,Density,crude_oil,GLOBAL,,,,density_kg_per_litre,0.850,kg/litre,API 40 degree typical India crude,,,Crude oil density. India crude typically 36-42 API.
