factor_id,country,efdb_id,factor_set_version,factor_value,fuel_item,gas,ipcc_table_ref,module,notes,preferred_rank,scope,source_name,source_reference,source_url,technology_process,unit_denominator,unit_numerator,year_end,year_start
S1_GLOBAL_STATIONARY_DIESEL_CH4_KG_PER_TJ_IPCC2006,GLOBAL,53621,v0.1.0,3,diesel_oil,CH4,Table 2.3,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 default CH4 emission factor for diesel oil.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgCH4,,
S1_GLOBAL_STATIONARY_DIESEL_CH4_KG_PER_TJ_IPCC2019,GLOBAL,53621,v0.1.0,3,diesel_oil,CH4,2006 Vol.2 Table 2.3; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),2019 Refinement Vol.2 Ch.2 indicates no refinement; CH4 default EF consistent with 2006 default tables.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgCH4,,
S1_GLOBAL_STATIONARY_DIESEL_N2O_KG_PER_TJ_IPCC2019,GLOBAL,53622,v0.1.0,0.6,diesel_oil,N2O,2006 Vol.2 Table 2.5; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),2019 Refinement Vol.2 Ch.2 indicates no refinement; N2O default EF consistent with 2006 default tables.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgN2O,,
S1_GLOBAL_STATIONARY_DIESEL_N2O_KG_PER_TJ_IPCC2006,GLOBAL,53622,v0.1.0,0.6,diesel_oil,N2O,Table 2.5,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 default N2O emission factor for diesel oil.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgN2O,,
S1_GLOBAL_STATIONARY_PETROL_CO2_KG_PER_TJ_IPCC2019,GLOBAL,53600,v0.1.0,69300,motor_gasoline,CO2,2006 Vol.2 Table 2.2; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),Stationary combustion defaults; 2019 Refinement indicates no refinement to this chapter; values consistent with 2006 defaults for motor gasoline.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgCO2,,
S1_GLOBAL_IPPU_CEMENT_CLINKER_CO2_T_PER_T_IPCC2006,GLOBAL,20000,v0.1.0,0.5244,cement_clinker,CO2,Vol.3 Cement chapter default,other,Represents a process-emissions coefficient; should be moved under a dedicated IPPU module when module enum is expanded.,950,S1,IPCC 2006 Guidelines (default),Default process CO2 emission factor for clinker (calcination).,,,t_clinker,tCO2,,
S1_GLOBAL_STATIONARY_NATGAS_CO2_KG_PER_TJ_IPCC2019,GLOBAL,53570,v0.1.0,56100,natural_gas,CO2,2006 Vol.2 Table 2.2; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),Stationary combustion defaults; 2019 Refinement indicates no refinement; values consistent with 2006 defaults for natural gas.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgCO2,,
S1_GLOBAL_STATIONARY_COAL_BITUM_CO2_KG_PER_TJ_IPCC2019,GLOBAL,53530,v0.1.0,94600,other_bituminous_coal,CO2,2006 Vol.2 Table 2.2; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),Stationary combustion defaults; 2019 Refinement indicates no refinement; values consistent with 2006 defaults for other bituminous coal.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgCO2,,
S2_GLOBAL_GRID_ELECTRICITY_CO2E_KG_PER_KWH_INTERNAL,GLOBAL,,v0.1.0,0.49,grid_electricity,CO2e,,purchased_electricity,Not an IPCC default table; acts as last-resort GLOBAL fallback only.,990,S2,IEA (global average),Global average grid electricity emissions factor used as last-resort fallback; replace with country-specific factors where possible.,,,kWh,kgCO2e,,
S1_GLOBAL_STATIONARY_PETROL_N2O_KG_PER_TJ_IPCC2019,GLOBAL,53602,v0.1.0,0.6,motor_gasoline,N2O,2006 Vol.2 Table 2.5; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),2019 Refinement indicates no refinement to stationary combustion chapter; N2O default EF consistent with IPCC 2006 defaults for motor gasoline.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgN2O,,
S1_GLOBAL_STATIONARY_PETROL_CH4_KG_PER_TJ_IPCC2019,GLOBAL,53601,v0.1.0,3,motor_gasoline,CH4,2006 Vol.2 Table 2.3; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),2019 Refinement indicates no refinement to stationary combustion chapter; CH4 default EF consistent with IPCC 2006 defaults for motor gasoline.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgCH4,,
S1_GLOBAL_STATIONARY_NATGAS_N2O_KG_PER_TJ_IPCC2019,GLOBAL,53572,v0.1.0,0.1,natural_gas,N2O,2006 Vol.2 Table 2.5; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),2019 Refinement indicates no refinement to stationary combustion chapter; N2O default EF consistent with IPCC 2006 defaults for natural gas.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgN2O,,
S1_GLOBAL_STATIONARY_NATGAS_CH4_KG_PER_TJ_IPCC2019,GLOBAL,53571,v0.1.0,1,natural_gas,CH4,2006 Vol.2 Table 2.3; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),2019 Refinement indicates no refinement to stationary combustion chapter; CH4 default EF consistent with IPCC 2006 defaults for natural gas.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgCH4,,
S1_GLOBAL_STATIONARY_PETROL_CO2_KG_PER_TJ_IPCC2006,GLOBAL,53600,v0.1.0,69300,motor_gasoline,CO2,Table 2.2,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 default CO2 EF for motor gasoline (stationary combustion).,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgCO2,,
S1_GLOBAL_STATIONARY_COAL_BITUM_CO2_KG_PER_TJ_IPCC2006,GLOBAL,53530,v0.1.0,94600,other_bituminous_coal,CO2,Table 2.2,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 default CO2 EF for other bituminous coal (stationary combustion).,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgCO2,,
S1_GLOBAL_STATIONARY_NATGAS_CO2_KG_PER_TJ_IPCC2006,GLOBAL,53570,v0.1.0,56100,natural_gas,CO2,Table 2.2,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 default CO2 EF for natural gas (stationary combustion).,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgCO2,,
S1_GLOBAL_STATIONARY_PETROL_N2O_KG_PER_TJ_IPCC2006,GLOBAL,53602,v0.1.0,0.6,motor_gasoline,N2O,Table 2.5,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 default N2O EF for motor gasoline (stationary combustion).,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgN2O,,
S1_GLOBAL_STATIONARY_NATGAS_N2O_KG_PER_TJ_IPCC2006,GLOBAL,53572,v0.1.0,0.1,natural_gas,N2O,Table 2.5,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 default N2O EF for natural gas (stationary combustion).,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgN2O,,
S1_GLOBAL_STATIONARY_PETROL_CH4_KG_PER_TJ_IPCC2006,GLOBAL,53601,v0.1.0,3,motor_gasoline,CH4,Table 2.3,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 default CH4 EF for motor gasoline (stationary combustion).,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgCH4,,
S1_GLOBAL_STATIONARY_NATGAS_CH4_KG_PER_TJ_IPCC2006,GLOBAL,53571,v0.1.0,1,natural_gas,CH4,Table 2.3,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 default CH4 EF for natural gas (stationary combustion).,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgCH4,,
S1_GLOBAL_MOBILE_PETROL_CAR_N2O_G_PER_KM_IPCC2006,GLOBAL,53802,v0.1.0,0.008,motor_gasoline,N2O,Vol.2 Ch.3 Table 3.2.1/3.2.2 (road),mobile_combustion,Distance-based N2O factor; requires km activity.,950,S1,IPCC 2006 Guidelines (default),Mobile combustion road transport default EF for petrol passenger cars.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf,passenger_car,km,gN2O,,
S1_GLOBAL_MOBILE_DIESEL_CAR_CH4_G_PER_KM_IPCC2006,GLOBAL,53811,v0.1.0,0.005,diesel_oil,CH4,Vol.2 Ch.3 Table 3.2.1 (road),mobile_combustion,Distance-based CH4 factor; requires km activity.,950,S1,IPCC 2006 Guidelines (default),Mobile combustion road transport default EF for diesel passenger cars.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf,passenger_car,km,gCH4,,
S1_GLOBAL_MOBILE_PETROL_CAR_CH4_G_PER_KM_IPCC2006,GLOBAL,53801,v0.1.0,0.015,motor_gasoline,CH4,Vol.2 Ch.3 Table 3.2.1/3.2.2 (road),mobile_combustion,Distance-based CH4 factor; requires km activity.,950,S1,IPCC 2006 Guidelines (default),Mobile combustion road transport default EF for petrol passenger cars.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf,passenger_car,km,gCH4,,
S1_GLOBAL_MOBILE_DIESEL_CAR_N2O_G_PER_KM_IPCC2006,GLOBAL,53810,v0.1.0,0.035,diesel_oil,N2O,Vol.2 Ch.3 Table 3.2.1 (road),mobile_combustion,Distance-based N2O factor; requires km activity.,950,S1,IPCC 2006 Guidelines (default),Mobile combustion road transport default EF for diesel passenger cars.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf,passenger_car,km,gN2O,,
S1_GLOBAL_MOBILE_DIESEL_HDT_N2O_G_PER_KM_IPCC2006,GLOBAL,53820,v0.1.0,0.082,diesel_oil,N2O,Vol.2 Ch.3 Table 3.2.2 (road),mobile_combustion,Distance-based N2O factor; requires km activity.,950,S1,IPCC 2006 Guidelines (default),Mobile combustion road transport default EF for diesel heavy-duty trucks.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf,heavy_duty_truck,km,gN2O,,
S1_GLOBAL_MOB_GASOLINE_CO2_IPCC2019,GLOBAL,53600,v0.1.0,69300,motor_gasoline,CO2,Vol.2 Ch.3 Table 3.2.1,mobile_combustion,CO2 combustion EF for petrol/gasoline in mobile sources per TJ fuel.,900,S1,IPCC 2019 Refinement (default),Mobile combustion CO2 EF motor gasoline IPCC 2019.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/,petrol_cars,TJ,kgCO2,,
S1_GLOBAL_MOB_DIESEL_CO2_IPCC2019,GLOBAL,53610,v0.1.0,74100,diesel_oil,CO2,Vol.2 Ch.3 Table 3.2.1,mobile_combustion,CO2 combustion EF for diesel in mobile sources per TJ fuel.,900,S1,IPCC 2019 Refinement (default),Mobile combustion CO2 EF diesel oil IPCC 2019.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/,diesel_trucks_heavy,TJ,kgCO2,,
S1_GLOBAL_MOB_JETFUEL_CO2_IPCC2019,GLOBAL,53620,v0.1.0,71500,jet_fuel,CO2,Vol.2 Ch.3 Table 3.2.1,mobile_combustion,CO2 combustion EF for jet fuel aviation per TJ fuel.,900,S1,IPCC 2019 Refinement (default),Mobile combustion CO2 EF jet fuel IPCC 2019.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/,jet_fuel_aviation,TJ,kgCO2,,
S1_GLOBAL_MOB_FUELOIL_CO2_IPCC2019,GLOBAL,53630,v0.1.0,77400,fuel_oil,CO2,Vol.2 Ch.3 Table 3.2.1,mobile_combustion,CO2 combustion EF for marine fuel oil per TJ fuel.,900,S1,IPCC 2019 Refinement (default),Mobile combustion CO2 EF fuel oil IPCC 2019.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/,marine_fuel_oil,TJ,kgCO2,,
S1_GLOBAL_MOB_NATGAS_CO2_IPCC2019,GLOBAL,53640,v0.1.0,56100,natural_gas,CO2,Vol.2 Ch.3 Table 3.2.1,mobile_combustion,CO2 combustion EF for natural gas in mobile sources per TJ fuel.,900,S1,IPCC 2019 Refinement (default),Mobile combustion CO2 EF natural gas IPCC 2019.,https://www.ipcc-nggip.iges.or.jp/public/2019rf/,natural_gas_vehicles,TJ,kgCO2,,
